date,postcount,likecount,commentcount
2011-06-27,1,1,0
2011-06-28,4,8,163
2011-06-29,2,6,10
2011-06-30,5,13,20
2011-07-03,1,6,2
2011-07-05,1,1,2
2011-07-07,1,0,0
2011-07-09,1,2,28
2011-07-10,3,0,3
2011-07-12,2,4,2
2011-07-14,4,3,3
2011-07-19,3,10,6
2011-07-20,3,7,6
2011-07-21,7,22,44
2011-07-22,19,50,99
2011-07-23,5,9,25
2011-07-24,7,19,3
2011-07-25,1,9,4
2011-07-26,15,29,60
2011-07-27,4,14,14
2011-07-28,20,69,69
2011-07-29,15,39,101
2011-07-30,12,27,45
2011-07-31,15,36,151
2011-08-01,15,50,62
2011-08-02,11,24,37
2011-08-03,20,52,46
2011-08-04,21,53,102
2011-08-05,6,10,5
2011-08-06,17,46,88
2011-08-07,14,51,65
2011-08-08,17,49,151
2011-08-09,27,61,72
2011-08-10,27,136,270
2011-08-11,18,59,129
2011-08-12,16,58,130
2011-08-13,18,47,101
2011-08-14,5,23,44
2011-08-15,20,68,209
2011-08-16,6,25,17
2011-08-17,31,97,239
2011-08-18,14,57,71
2011-08-19,21,62,251
2011-08-20,20,73,359
2011-08-21,17,52,159
2011-08-22,27,96,187
2011-08-23,23,51,165
2011-08-24,25,66,145
2011-08-25,14,31,95
2011-08-26,14,35,199
2011-08-27,17,59,97
2011-08-28,10,25,83
2011-08-29,23,59,186
2011-08-30,21,62,103
2011-08-31,29,38,146
2011-09-01,22,75,138
2011-09-02,15,21,32
2011-09-04,1,1,90
2011-09-06,3,12,9
2011-09-07,10,31,192
2011-09-08,15,48,69
2011-09-09,7,25,76
2011-09-10,11,51,110
2011-09-11,19,58,61
2011-09-12,25,85,203
2011-09-13,14,33,106
2011-09-14,18,73,73
2011-09-15,17,80,131
2011-09-16,24,77,320
2011-09-17,14,55,84
2011-09-18,14,37,89
2011-09-19,14,66,185
2011-09-20,26,69,66
2011-09-21,15,58,42
2011-09-22,18,58,144
2011-09-23,20,68,144
2011-09-24,11,12,66
2011-09-25,12,27,118
2011-09-26,27,76,279
2011-09-27,10,25,151
2011-09-28,17,29,69
2011-09-29,17,46,73
2011-09-30,17,30,48
2011-10-01,6,18,77
2011-10-02,8,36,84
2011-10-03,13,44,93
2011-10-04,16,39,47
2011-10-05,20,71,67
2011-10-06,14,42,54
2011-10-07,14,49,70
2011-10-08,11,52,62
2011-10-09,15,56,86
2011-10-10,23,50,87
2011-10-11,19,70,137
2011-10-12,18,83,143
2011-10-13,20,34,47
2011-10-14,13,16,21
2011-10-15,10,25,44
2011-10-16,22,71,118
2011-10-17,24,35,34
2011-10-18,7,31,47
2011-10-19,14,25,20
2011-10-20,5,9,29
2011-10-21,10,46,56
2011-10-22,4,12,0
2011-10-23,2,7,5
2011-10-24,11,28,37
2011-10-25,7,19,15
2011-10-26,6,32,8
2011-10-27,5,20,24
2011-10-28,19,41,113
2011-10-29,5,25,15
2011-10-30,6,9,2
2011-10-31,9,6,63
2011-11-01,6,7,38
2011-11-02,17,36,81
2011-11-03,17,19,23
2011-11-04,16,44,71
2011-11-05,8,16,54
2011-11-06,16,102,241
2011-11-07,11,36,75
2011-11-08,14,34,34
2011-11-09,18,61,71
2011-11-10,10,26,15
2011-11-11,14,28,53
2011-11-12,8,32,83
2011-11-13,7,14,19
2011-11-14,9,34,241
2011-11-15,11,18,32
2011-11-16,11,13,16
2011-11-17,9,29,33
2011-11-18,17,80,177
2011-11-19,9,23,89
2011-11-20,10,14,13
2011-11-21,5,16,50
2011-11-22,16,39,31
2011-11-23,10,27,39
2011-11-24,14,63,21
2011-11-25,11,33,82
2011-11-26,7,22,74
2011-11-27,11,20,43
2011-11-28,20,64,97
2011-11-29,14,62,90
